source,target,weight
582,510,4
582,1387,37
582,1777,28
582,2198,85
1345,510,1
1345,1387,1
1345,1777,1
1345,2198,1
1324,582,29
1324,1381,10
1324,1652,22
1324,1924,2
1745,582,1
1745,1381,1
1745,1652,1
1745,1924,1
582,12,4
582,1175,21
582,1374,29
1530,12,1
1530,1175,3
1530,1374,3
1530,1777,3
1530,2198,3
1324,1175,11
1324,1374,12
1324,1777,29
1324,2198,32
1421,1069,1
1421,1386,1
1421,1387,2
1421,2198,2
1453,1069,5
1453,1386,6
1453,1387,9
1453,2198,27
582,986,18
582,1505,2
1421,986,1
1421,1505,1
582,463,2
582,718,13
582,1068,33
582,1454,17
1393,463,1
1393,718,1
1393,1068,1
1393,1454,1
582,1270,9
582,1324,31
582,2049,6
1376,1270,1
1376,1324,1
1376,2049,1
1376,2198,1
582,1479,5
582,1516,24
582,2199,11
582,2209,27
1299,1479,1
1299,1516,1
1299,2199,1
1299,2209,1
634,582,3
634,1887,3
634,2198,3
634,2209,3
2199,582,28
2199,1887,4
2199,2198,28
2199,2209,17
634,1704,1
651,582,22
651,1704,3
651,1887,3
651,2198,23
651,2209,17
531,582,2
531,594,2
531,605,2
531,1214,1
1374,582,18
1374,594,10
1374,605,4
1374,1214,15
277,553,7
277,582,37
277,594,18
277,605,6
531,553,1
506,238,1
506,327,1
506,688,1
506,2199,1
582,238,4
582,327,19
582,688,11
2198,582,31
2198,1649,3
2198,1979,2
2198,2199,7
2229,582,1
2229,1649,1
2229,1979,1
2229,2199,1
1455,1381,11
1455,1777,16
1455,2198,26
1455,2201,3
2197,1381,2
2197,1777,2
2197,2198,2
2197,2201,1
2197,1544,1
2197,1831,1
2209,1381,11
2209,1544,2
2209,1777,34
2209,1831,2
2209,2198,55
1772,1887,1
1772,2198,1
1772,2209,1
1772,2333,1
2199,2333,2
582,1652,37
582,2041,6
1750,238,1
1750,1652,2
1750,2041,1
1750,2199,2
277,677,4
277,1652,13
277,2199,5
1750,582,1
1750,677,1
582,711,2
582,2060,3
1649,688,1
1649,711,1
1649,2060,1
1649,2198,1
1444,582,1
1444,1056,1
1444,1069,1
1444,1464,1
1453,582,24
1453,1056,4
1453,1464,4
582,912,19
582,1131,5
582,1455,12
1132,912,1
1132,1068,1
1132,1131,1
1132,1455,1
582,66,17
582,194,11
582,2217,9
724,66,1
724,194,1
724,2049,1
724,2217,1
692,1455,6
692,1516,7
692,1777,4
692,2198,8
1719,1455,3
1719,1516,3
1719,1777,3
1719,2198,3
692,1214,5
1453,1214,13
1453,1455,6
1453,1516,10
582,1214,20
692,1299,1
1411,1299,3
1411,1455,5
1411,1777,20
1411,2198,27
692,1454,3
1374,1454,8
1374,1516,9
1374,2198,16
130,111,8
130,201,8
130,216,4
130,1670,2
565,111,1
565,201,1
565,216,1
565,1670,1
277,130,11
277,517,4
505,130,1
505,517,1
505,582,1
505,594,1
497,582,1
497,1324,1
497,1454,1
497,2198,1
1374,1324,11
277,656,3
277,2380,3
494,594,1
494,656,1
494,1652,1
494,2380,1
233,300,2
233,651,2
233,976,1
233,1068,2
975,300,7
975,651,7
975,976,2
975,1068,15
233,66,1
582,300,8
582,651,16
1652,582,25
1652,585,7
1652,677,5
1652,2068,6
2228,582,1
2228,585,1
2228,677,1
2228,2068,1
651,975,6
651,2217,3
651,2344,1
2211,582,1
2211,975,2
2211,2217,2
2211,2344,1
582,526,1
582,975,29
2211,526,1
2211,1387,1
582,2042,2
2067,651,1
2067,986,1
2067,2042,1
2067,2198,1
2042,430,1
2042,2141,1
2042,2199,1
2042,2209,2
2198,430,5
2198,2141,2
2198,2209,16
585,1660,1
585,1777,10
585,2196,3
585,2209,9
2042,1660,1
2042,1777,1
2042,2196,1
656,327,9
656,1068,8
656,1670,3
656,2198,11
1688,327,2
1688,1068,2
1688,1670,1
1688,2198,2
582,2068,4
1688,718,1
1688,2068,1
1386,582,3
1386,826,3
1386,1214,3
1386,1387,3
2209,582,60
2209,826,4
2209,1214,19
2209,1387,21
1453,826,7
582,200,13
582,435,2
1341,200,1
1341,435,1
1341,1214,1
1341,1387,1
1341,1454,1
1341,1479,1
1292,826,1
1292,970,1
1292,1381,1
1292,1516,1
1453,970,2
1453,1381,7
1006,12,1
1006,975,1
1006,1387,1
1006,2199,1
277,111,6
277,2086,1
277,2198,28
695,111,1
695,130,1
695,2086,1
695,2198,1
678,582,2
678,585,2
678,680,2
678,1068,1
688,582,14
688,585,4
688,680,3
688,1068,8
678,84,1
678,2068,1
1652,84,2
1652,680,6
216,66,5
216,130,8
216,277,9
216,582,17
535,66,1
535,130,1
535,277,1
535,582,1
288,327,1
288,718,1
288,975,1
288,1516,1
2198,194,6
2198,552,5
2198,1068,11
2198,1516,13
2210,194,1
2210,552,1
2210,582,1
2210,1068,1
2210,1516,1
2210,1649,1
2210,2141,1
1411,582,21
1411,1324,8
1411,1652,23
1411,2050,6
2146,582,2
2146,1324,2
2146,1652,2
2146,2050,1
2146,549,1
2146,1283,1
2209,549,4
2209,1283,2
2209,1324,23
2209,1652,33
585,582,17
585,1898,1
585,2352,1
1930,582,1
1930,1898,1
1930,2209,1
1930,2352,1
1771,430,2
1771,552,3
1771,582,3
1771,1214,2
2198,1214,15
1771,0,2
1961,0,2
1961,552,2
1961,582,7
1961,1214,5
1464,0,4
1464,430,2
1464,552,2
1464,582,7
1652,549,5
1652,1577,2
1652,2126,3
1670,549,1
1670,582,1
1670,1577,1
1670,2068,1
1670,2126,1
582,346,21
582,999,6
1296,12,1
1296,346,1
1296,999,1
1296,1516,1
1296,2198,1
944,582,2
944,975,2
944,1474,2
944,1670,1
1777,582,15
1777,975,13
1777,1474,2
1777,1670,2
525,327,2
525,582,3
525,975,4
525,1474,2
944,327,1
680,200,2
680,582,1
680,975,2
680,1652,2
718,200,5
718,582,13
718,975,6
718,1652,8
582,687,1
680,651,1
680,687,1
582,1341,5
582,1763,20
653,718,1
653,1324,3
653,1341,1
653,1374,3
653,1652,3
653,1763,3
653,2217,1
1516,1324,16
1516,1374,17
1516,1652,23
1516,1763,14
66,43,2
66,216,4
66,401,1
66,585,4
626,43,1
626,216,1
626,401,1
626,585,1
99,139,1
99,200,1
99,605,1
99,986,1
976,139,3
976,200,3
976,605,2
976,986,3
43,111,1
43,216,1
43,594,1
43,1763,1
277,216,9
277,1763,13
1455,582,25
1455,1214,10
1455,2085,5
2332,582,6
2332,1214,8
2332,2085,5
2332,2198,8
2209,2085,6
2332,1464,1
2332,1324,5
582,2085,6
2332,2060,1
2209,2160,2
2332,2160,1
555,130,2
555,208,2
555,510,2
555,1889,1
1777,130,4
1777,208,3
1777,510,2
1777,1889,2
277,208,4
277,2209,14
555,1652,2
555,2209,2
555,651,1
555,1961,1
582,1961,7
495,582,8
495,975,7
495,1454,6
495,2198,8
525,1454,3
525,2198,2
525,1298,1
1777,1298,2
1777,1454,9
525,12,1
517,1324,9
517,1387,11
517,1652,13
517,2198,13
517,2050,3
582,2050,10
517,1374,7
552,1374,15
552,1387,15
552,1652,30
552,2198,36
1516,1387,22
1516,2198,40
517,1454,1
512,130,1
512,567,1
512,585,1
512,986,1
1652,130,8
1652,567,2
1652,986,5
430,300,1
430,1175,1
430,1324,1
430,1454,1
430,2198,1
412,139,3
412,194,3
412,594,3
412,718,3
582,139,8
582,594,20
277,139,10
277,194,8
277,718,6
277,2201,2
412,216,1
412,2201,1
360,66,1
360,401,1
360,1068,1
360,2239,1
594,66,9
594,401,3
594,1068,9
594,2239,1
300,277,2
300,605,1
300,975,2
300,1387,2
604,277,7
604,605,3
604,975,4
604,1387,8
300,200,1
582,277,18
54,151,1
54,204,1
54,656,1
54,718,1
2049,151,2
2049,204,2
2049,656,2
2049,718,2
2199,1772,2
2199,2051,1
2390,582,6
2390,1772,2
2390,2051,1
2390,2198,6
1453,594,7
2390,594,5
2390,1464,1
1374,1770,4
2390,1770,1
277,680,8
2390,680,3
651,594,9
651,680,6
651,1772,2
1517,582,8
1517,1175,5
1517,1374,6
1517,2198,8
1058,582,3
1058,802,1
1058,976,1
1058,2198,4
1517,802,1
1517,976,1
688,1208,6
688,1374,10
1517,1068,5
1517,1208,6
651,1175,11
651,1386,4
1517,1386,3
1453,1175,14
1453,1208,3
605,582,27
605,1068,13
605,1208,7
605,1374,14
605,2198,25
582,1208,8
582,1477,1
1517,1477,1
1388,327,1
1388,346,1
1388,1381,1
1388,2160,1
2209,327,11
2209,346,16
582,1517,6
1271,277,1
1271,651,1
1271,1517,1
1271,2198,1
1246,582,2
1246,651,2
1246,1175,1
1246,1299,1
2199,651,6
2199,1175,14
2199,1299,7
975,582,21
975,986,9
975,1307,3
1246,986,1
1246,1307,1
1058,1299,2
1058,1516,3
2199,1516,8
1058,1056,2
1175,1056,2
1175,1299,2
1175,1516,2
1175,2198,3
1058,983,1
1453,983,1
582,1540,1
983,594,7
983,975,7
983,986,7
983,1068,7
983,1131,1
983,1540,1
983,2198,1
1777,594,13
1777,986,11
1777,1068,13
151,594,8
151,975,8
151,986,10
151,1068,11
610,199,2
610,582,5
610,912,4
610,1411,1
2198,199,3
2198,912,11
2198,1411,5
216,111,6
216,199,2
610,111,4
610,277,4
142,111,4
142,277,4
142,582,5
142,912,4
130,277,9
130,582,12
130,912,7
543,327,1
543,476,2
543,582,2
543,723,1
2209,476,3
2209,723,1
543,2068,1
543,2216,1
585,476,3
585,2068,3
585,2216,1
142,830,1
142,2198,2
2065,582,5
2065,830,1
2065,912,2
2065,2198,4
142,581,1
200,111,6
200,277,14
200,581,1
200,582,21
200,2198,12
1652,2043,2
2126,582,1
2126,677,1
2126,2043,1
2126,2068,1
1298,1175,4
1298,1299,2
1298,1345,1
1298,2198,4
2199,1345,1
1298,1777,2
1298,1924,1
1298,1067,1
1298,1270,2
1516,1067,4
1516,1175,13
1516,1270,7
1516,1299,7
582,1216,1
1298,1068,1
1298,1216,1
1175,1494,1
1516,1056,4
1516,1494,2
582,641,2
582,1411,6
1175,641,1
1175,1411,1
970,582,1
970,785,1
970,971,1
970,1073,1
970,1307,1
1069,582,3
1069,785,1
1069,971,1
1069,1073,1
1069,1307,1
912,327,1
912,999,1
912,1516,1
912,2198,1
272,200,1
272,346,1
272,1516,1
272,2198,1
208,140,1
208,582,3
208,1129,2
208,1763,2
975,140,1
975,1129,2
975,1763,15
208,165,2
327,165,3
327,582,10
327,1129,2
327,1763,6
208,130,1
208,151,1
216,151,3
216,165,3
582,1808,8
2075,651,1
2075,1808,1
2075,2068,1
2075,2209,1
1652,2311,1
1888,130,1
1888,582,1
1888,1577,1
1888,2311,1
1719,975,1
1389,582,2
1389,912,2
1389,1283,1
1389,1544,1
2209,912,9
1069,912,3
1069,1198,1
1069,1516,3
1389,1198,1
1389,1516,1
1270,346,1
1270,688,1
1270,975,1
1270,1341,1
1270,1374,1
604,401,2
604,582,10
604,2209,7
2263,277,3
2263,401,2
2263,582,3
2263,2209,3
594,277,11
594,582,23
594,2228,3
2263,2228,2
585,2049,4
585,2050,5
585,2228,3
2263,2049,2
2263,2050,2
2263,718,1
2263,1454,1
2051,507,1
2051,582,1
2051,1783,1
2051,1808,1
2051,1831,1
2051,2042,1
2209,507,5
2209,1783,1
2209,1808,6
2209,2042,2
1067,327,1
1067,594,1
1067,975,1
1067,2199,1
984,430,1
984,1068,2
984,1464,1
984,1473,1
1387,430,1
1387,1068,3
1387,1464,2
1387,1473,1
582,945,1
582,1201,2
984,718,1
984,945,1
984,1201,1
552,582,28
552,1777,27
688,1652,7
688,1777,10
552,277,11
604,1374,6
552,130,3
200,130,8
111,130,6
111,277,5
111,582,6
111,688,2
552,688,4
552,1453,4
1516,1453,7
2217,582,24
2217,1652,22
2217,1777,22
2217,2198,27
605,1777,16
552,689,1
718,277,5
718,689,2
718,2198,12
552,1771,3
594,1387,11
594,1771,4
594,2198,16
2217,688,4
2217,1387,13
552,1174,1
1455,277,5
1455,1174,1
1455,1453,5
605,277,13
605,1453,6
605,1771,3
495,2050,3
2199,975,8
2199,2050,5
495,130,5
495,709,1
1652,709,3
1652,1454,5
495,594,6
200,2050,3
44,130,1
44,975,4
44,1479,2
44,2198,4
495,1479,2
277,2185,2
495,2185,2
495,2041,3
1777,2041,3
582,2185,2
165,199,1
165,346,2
165,1324,2
165,1763,2
2198,346,15
2198,1324,16
2198,1763,11
165,200,1
165,975,1
165,1479,1
1381,430,1
1381,912,2
1381,1175,2
1381,1516,2
2198,1175,12
1381,1374,1
1324,430,1
1324,1770,2
2198,1770,4
1324,2067,2
1516,2067,2
1455,1175,8
605,1381,8
1324,1195,1
1453,1195,1
1324,1131,1
2209,1770,4
2209,2067,3
507,474,1
507,1882,1
507,2198,1
507,2340,1
585,474,1
585,1882,2
585,2198,13
585,2340,1
56,200,1
56,327,2
56,718,1
56,2207,2
582,2207,4
56,151,1
56,199,1
56,201,2
56,278,2
216,201,7
216,278,2
130,278,2
130,327,7
130,2207,3
2199,66,8
2217,66,8
2217,2209,10
2198,1387,11
2198,1517,2
2217,1517,2
1652,66,7
1652,1777,6
1652,1808,5
2217,1808,6
2217,2043,1
651,688,3
651,1719,4
2217,1719,2
604,66,11
604,1808,4
585,507,4
2217,507,3
1516,66,10
1516,1719,4
1516,2209,19
1056,836,1
1056,1299,1
1056,1324,2
1056,1453,1
1516,836,1
582,495,2
582,653,4
1056,495,1
1056,653,1
1056,912,1
1056,1068,1
401,476,2
401,507,2
401,582,3
401,677,2
2209,677,4
401,447,1
401,2049,2
2068,447,1
2068,582,5
2068,677,4
2068,2049,3
401,600,1
585,600,1
204,159,1
204,300,2
204,327,3
204,604,1
975,159,1
975,327,10
975,604,2
130,54,2
130,233,3
204,54,1
204,233,1
204,912,2
204,39,1
204,718,1
582,39,1
148,0,2
148,174,2
148,517,2
148,1068,1
148,1961,1
201,0,4
201,174,2
201,517,3
201,1068,5
201,1961,3
66,0,4
66,174,2
66,208,3
66,453,2
66,517,3
148,208,1
148,453,1
976,1307,2
976,1374,3
976,1887,1
1454,200,4
1454,1307,2
1454,1374,6
1454,1887,1
605,200,5
1454,277,5
1454,2198,7
277,896,1
1454,208,1
1454,896,1
1454,1763,6
200,784,4
200,1763,8
1454,784,3
1454,651,4
1516,651,7
1516,784,4
975,277,10
975,784,4
1454,495,1
1411,861,3
1455,861,4
718,1386,3
1411,1386,2
1516,1455,7
1453,861,4
1411,1849,1
2199,861,5
2199,1849,1
986,1067,2
986,1652,4
986,1763,4
986,2198,4
975,141,3
975,1288,1
975,2217,5
986,141,2
986,1288,1
986,2217,2
718,1067,1
986,975,2
277,141,4
986,999,1
986,1517,1
718,216,4
2209,216,6
1453,216,3
718,986,5
975,689,1
200,535,1
718,535,1
178,194,5
178,582,19
178,986,7
178,2198,13
718,194,5
327,194,3
327,200,4
327,975,6
327,986,8
582,420,1
582,527,2
718,420,1
718,527,1
111,238,2
111,680,2
1652,238,2
111,139,5
200,139,7
111,274,1
216,139,5
216,274,1
44,651,3
44,912,3
44,1208,1
2199,912,11
277,2211,3
2049,582,4
2049,2211,2
178,1622,1
178,2050,4
178,2211,3
2049,1622,1
2049,2050,1
1652,1704,4
1652,2263,4
2049,549,2
2049,709,1
2049,1704,1
2049,2263,2
216,204,2
216,549,3
216,2263,2
1889,582,7
1889,1214,8
1889,1324,9
1889,1516,6
594,346,9
594,1324,10
1889,346,8
1889,1771,1
1889,1652,3
1889,1651,1
1889,2333,1
2199,346,9
2199,1651,1
1889,1411,3
1889,199,1
1069,861,1
1069,999,1
1069,1131,1
1068,346,7
1068,582,10
1068,912,8
1068,2198,8
1068,141,2
1068,327,7
1068,1763,8
656,582,14
656,1763,6
178,327,8
178,2048,1
1068,2048,1
130,1763,7
1068,1961,3
2198,1961,5
327,204,2
327,899,1
327,944,1
1068,204,1
1068,899,1
1068,944,1
582,1107,1
1068,1107,1
151,201,3
151,582,6
975,201,7
151,695,2
594,201,8
594,695,2
151,121,3
327,121,2
151,131,1
216,121,2
216,131,1
151,54,2
201,54,3
201,121,1
201,594,4
178,54,2
178,1068,10
151,1298,1
151,2085,1
582,695,2
2199,2205,1
2201,1299,2
2201,2198,5
2201,2205,1
2201,2209,5
651,1270,6
2201,1270,4
2201,1719,3
1516,1116,3
2201,784,1
2201,1116,1
582,144,3
582,1978,1
2201,144,1
2201,527,1
2201,1978,1
2201,2041,1
1516,2087,2
1808,651,4
1808,2087,1
1808,2198,2
1808,2209,4
975,2209,9
1808,1068,3
1808,2217,3
582,565,3
1808,565,1
1808,2199,1
604,625,1
1652,625,1
604,497,1
605,497,1
327,66,6
604,165,2
174,66,4
174,582,7
174,605,3
174,1374,4
604,1455,3
594,605,6
582,433,1
604,433,1
604,2060,1
2068,520,1
2068,552,1
2068,1454,3
2198,520,1
2198,1454,7
2068,139,2
2068,2380,2
2068,1808,3
2068,2067,1
2209,2380,2
2068,2217,1
1652,2049,3
2068,1704,1
174,327,3
174,1777,6
605,327,8
174,656,1
174,2228,2
585,656,2
174,201,3
174,346,4
2209,201,7
174,0,1
1961,66,4
1961,346,5
1961,1777,5
688,201,4
688,605,4
174,565,1
1464,1453,4
1464,1488,1
2065,0,4
2065,1453,4
2065,1488,1
605,2075,1
1464,1068,5
1464,2075,1
178,0,5
178,1453,5
975,1318,2
1464,1318,1
1464,1763,4
1464,2209,4
1464,1056,1
1464,1067,1
1464,1116,1
1516,0,3
1374,688,3
1374,872,1
1374,1444,1
1374,1521,1
1387,688,2
1387,872,1
1387,1444,1
1387,1521,1
688,904,1
688,1464,2
1387,904,1
1387,1208,2
1387,346,1
216,1451,1
2209,1451,1
200,201,9
1777,0,4
1777,912,5
2065,1454,1
1516,2147,2
2065,2147,1
605,1084,1
2065,1084,1
1961,2316,1
2199,2316,1
1961,2201,1
1961,1270,2
1652,1270,4
1652,2125,2
1652,2390,1
1961,2125,1
1961,2126,1
1961,2390,1
1374,1069,4
1777,1069,3
1374,204,1
1455,204,1
1455,605,4
594,505,1
1374,505,1
1374,1531,1
2209,1531,1
277,1069,6
277,107,2
1374,107,1
656,594,4
656,549,2
656,2207,3
656,2263,2
1652,2207,2
651,2263,2
594,512,1
656,512,1
656,784,2
66,219,2
66,494,1
66,582,6
656,219,1
656,453,1
656,494,2
656,2206,1
2209,2206,1
582,494,1
1455,1359,2
2198,1359,3
1455,1056,2
688,718,3
1455,718,3
585,1359,2
178,1239,1
1455,1239,1
1453,1728,1
1455,1728,1
582,1124,1
1455,1124,1
585,427,1
605,427,1
327,272,2
327,1464,1
605,272,1
605,1464,3
605,1341,3
975,1341,3
976,1387,2
976,1453,1
976,1459,1
1516,1459,2
975,1069,3
976,300,3
976,1069,2
277,300,4
582,280,1
976,280,1
976,1517,1
178,585,4
2209,585,5
178,2126,1
178,1494,1
585,194,4
66,54,2
178,1979,1
2198,2211,2
178,300,4
178,148,1
200,148,1
200,585,5
130,44,2
130,696,1
201,44,2
201,216,3
201,233,2
201,696,1
130,107,1
130,525,2
277,525,2
130,144,2
582,525,2
200,44,2
200,144,2
200,233,2
66,272,1
1777,272,2
66,924,1
200,43,1
200,924,1
66,56,2
66,518,1
2209,56,1
2209,518,2
66,162,1
66,1882,1
277,162,1
277,1882,2
201,56,1
201,219,1
0,66,2
0,84,1
0,986,2
0,1763,2
327,84,2
0,277,1
0,565,1
0,999,1
0,1652,1
688,1270,3
688,2147,1
200,691,1
688,691,1
594,197,1
688,197,1
688,518,1
688,626,1
688,709,1
1652,626,1
651,553,7
2198,553,6
2198,680,4
651,2208,1
975,1704,2
975,2208,1
1652,553,4
651,826,3
2199,826,5
277,646,1
277,653,3
651,646,1
651,653,3
2199,553,6
327,1116,1
327,2027,1
1516,2027,1
201,1464,1
1887,0,1
1887,1068,3
1887,1464,1
1887,1961,3
201,690,2
1777,690,2
200,99,1
201,99,1
201,139,3
201,688,1
201,141,1
277,690,2
1516,970,1
1887,1411,2
1887,1801,1
2198,1801,2
1887,2041,1
1777,2065,3
2199,1889,1
2199,2065,3
1652,1516,3
1652,2065,3
971,826,1
971,912,2
971,1299,2
971,1893,2
971,2050,2
2199,1893,2
2199,2196,2
2198,2072,1
2199,1649,1
2199,2072,1
1516,1893,2
1516,2196,2
2199,1459,1
582,2065,3
582,2077,1
2199,2077,1
594,517,1
585,668,1
585,1318,1
594,668,1
594,1318,2
594,292,3
975,292,3
200,117,1
200,292,3
594,117,1
585,2258,1
1516,2258,1
585,1961,2
585,2125,1
585,463,1
585,510,1
200,1704,2
200,2299,2
1516,2299,2
200,1517,1
582,2299,2
1777,1359,1
1777,2199,4
1777,2259,1
2198,2259,1
2198,567,1
1652,1271,1
2209,1271,1
971,999,1
971,1411,1
971,1067,1
971,1380,1
971,2087,1
1516,1380,1
2209,604,1
277,976,1
975,435,1
975,1131,1
2209,1801,1
2198,641,1
582,1416,1
1516,1201,1
1516,1416,1
2209,711,1
2209,1505,1
